Piezómetro,Fecha,Cota Terreno,Lectura mes ant,Lectura mes act,Cota del nivel de agua (msnm)
30,01/07/2005,3.45,1.25,1.30,2.15
31,01/07/2005,2.75,0.88,0.86,1.89
32,01/07/2005,2.49,0.64,0.60,1.89
33,01/07/2005,2.77,0.70,0.37,2.40
34,01/07/2005,2.62,0.45,0.23,2.39
1,01/08/2005,2.67,0.84,0.63,2.04
2,01/08/2005,1.90,,,
3,01/08/2005,1.82,0.30,0.33,1.49
4,01/08/2005,3.34,1.17,1.10,2.24
5,01/08/2005,3.11,0.65,0.59,2.52
6,01/08/2005,3.09,,,
7,01/08/2005,2.14,0.70,0.73,1.41
8,01/08/2005,2.20,0.50,0.58,1.62
9,01/08/2005,3.84,0.97,0.77,3.07
10,01/08/2005,3.86,0.66,0.68,3.18
11,01/08/2005,3.27,0.63,0.80,2.47
12,01/08/2005,3.20,1.20,1.02,2.18
13,01/08/2005,3.13,0.73,0.78,2.35
14,01/08/2005,2.18,0.16,0.21,1.97
15,01/08/2005,2.39,0.23,0.35,2.04
16,01/08/2005,2.83,0.47,0.58,2.25
17,01/08/2005,2.93,0.63,0.70,2.23
18,01/08/2005,3.19,,,
19,01/08/2005,4.20,1.65,2.18,2.02
20,01/08/2005,3.14,0.26,0.65,2.49
21,01/08/2005,3.00,,,
22,01/08/2005,3.02,0.73,0.95,2.07
23,01/08/2005,2.82,0.50,0.64,2.18
24,01/08/2005,3.83,,,
25,01/08/2005,3.92,0.78,1.43,2.49
26,01/08/2005,4.06,0.80,0.90,3.16
27,01/08/2005,4.66,0.60,0.37,4.29
28,01/08/2005,4.58,1.00,0.59,3.99
29,01/08/2005,4.13,0.45,0.66,3.47
30,01/08/2005,3.45,1.30,,
31,01/08/2005,2.75,0.86,0.87,1.88
32,01/08/2005,2.49,0.60,0.67,1.82
33,01/08/2005,2.77,0.37,0.49,2.28
34,01/08/2005,2.62,0.23,0.34,2.28
1,01/09/2005,2.67,0.63,0.85,1.82
2,01/09/2005,1.90,,,1.90
3,01/09/2005,1.82,0.33,0.31,1.51
4,01/09/2005,3.34,1.10,1.25,2.09
5,01/09/2005,3.11,0.59,0.75,2.36
6,01/09/2005,3.09,,0.90,2.19
7,01/09/2005,2.14,0.73,0.79,1.35
8,01/09/2005,2.20,0.58,0.38,1.82
9,01/09/2005,3.84,0.77,0.96,2.88
10,01/09/2005,3.86,0.68,0.48,3.38
11,01/09/2005,3.27,0.80,0.75,2.52
12,01/09/2005,3.20,1.02,0.70,2.50
13,01/09/2005,3.13,0.78,0.81,2.32
14,01/09/2005,2.18,0.21,0.25,1.93
15,01/09/2005,2.39,0.35,0.31,2.08
16,01/09/2005,2.83,0.58,0.55,2.28
17,01/09/2005,2.93,0.70,0.79,2.14
18,01/09/2005,3.19,,0.75,2.44
19,01/09/2005,4.20,2.18,1.53,2.67
20,01/09/2005,3.14,0.65,0.61,2.53
21,01/09/2005,3.00,,1.06,1.94
22,01/09/2005,3.02,0.95,0.88,2.14
23,01/09/2005,2.82,0.64,0.74,2.08
24,01/09/2005,3.83,,,3.83
25,01/09/2005,3.92,1.43,0.50,3.42
26,01/09/2005,4.06,0.90,0.75,3.31
27,01/09/2005,4.66,0.37,1.10,3.56
28,01/09/2005,4.58,0.59,0.71,3.87
29,01/09/2005,4.13,0.66,0.86,3.27
30,01/09/2005,3.45,,1.04,2.41
31,01/09/2005,2.75,0.87,0.92,1.83
32,01/09/2005,2.49,0.67,0.29,2.20
33,01/09/2005,2.77,0.49,0.62,2.15
34,01/09/2005,2.62,0.34,0.31,2.31
1,01/10/2005,2.67,0.85,0.65,2.02
2,01/10/2005,1.90,,0.26,1.64
3,01/10/2005,1.82,0.31,0.31,1.51
4,01/10/2005,3.34,1.25,1.29,2.05
5,01/10/2005,3.11,0.75,0.57,2.54
6,01/10/2005,3.09,0.90,0.94,2.15
7,01/10/2005,2.14,0.79,0.47,1.67
8,01/10/2005,2.20,0.38,0.53,1.67
9,01/10/2005,3.84,0.96,0.90,2.94
10,01/10/2005,3.86,0.48,0.56,3.30
11,01/10/2005,3.27,0.75,0.86,2.41
12,01/10/2005,3.20,0.70,0.74,2.46
13,01/10/2005,3.13,0.81,0.34,2.79
14,01/10/2005,2.18,0.25,0.27,1.91
15,01/10/2005,2.39,0.31,0.30,2.09
16,01/10/2005,2.83,0.55,0.49,2.34
17,01/10/2005,2.93,0.79,0.54,2.39
18,01/10/2005,3.19,0.75,0.65,2.54
19,01/10/2005,4.20,1.53,1.42,2.78
20,01/10/2005,3.14,0.61,0.63,2.51
21,01/10/2005,3.00,1.06,0.53,2.47
22,01/10/2005,3.02,0.88,0.93,2.09
23,01/10/2005,2.82,0.74,0.73,2.09
24,01/10/2005,3.83,,1.33,2.50
25,01/10/2005,3.92,0.50,0.68,3.24
26,01/10/2005,4.06,0.75,0.70,3.36
27,01/10/2005,4.66,1.10,1.03,3.63
28,01/10/2005,4.58,0.71,0.64,3.94
29,01/10/2005,4.13,0.86,0.34,3.79
30,01/10/2005,3.45,1.04,,3.45
31,01/10/2005,2.75,0.92,0.83,1.92
32,01/10/2005,2.49,0.29,0.68,1.81
33,01/10/2005,2.77,0.62,0.43,2.34
34,01/10/2005,2.62,0.31,0.48,2.14
1,01/11/2005,2.67,0.65,0.90,1.77
2,01/11/2005,1.90,0.26,0.19,1.71
3,01/11/2005,1.82,0.31,0.26,1.56
4,01/11/2005,3.34,1.29,1.10,2.24
5,01/11/2005,3.11,0.57,0.77,2.34
6,01/11/2005,3.09,0.94,0.93,2.16
7,01/11/2005,2.14,0.47,0.74,1.40
8,01/11/2005,2.20,0.53,0.42,1.78
9,01/11/2005,3.84,0.90,0.84,3.00
10,01/11/2005,3.86,0.56,0.50,3.36
11,01/11/2005,3.27,0.86,0.72,2.55
12,01/11/2005,3.20,0.74,0.61,2.59
13,01/11/2005,3.13,0.34,0.65,2.48
14,01/11/2005,2.18,0.27,0.29,1.89
15,01/11/2005,2.39,0.30,0.36,2.03
16,01/11/2005,2.83,0.49,0.39,2.44
17,01/11/2005,2.93,0.54,0.47,2.46
18,01/11/2005,3.19,0.65,0.60,2.59
19,01/11/2005,4.20,1.42,1.22,2.98
20,01/11/2005,3.14,0.63,0.64,2.50
21,01/11/2005,3.00,0.53,0.62,2.38
22,01/11/2005,3.02,0.93,0.92,2.10
23,01/11/2005,2.82,0.73,0.83,1.99
24,01/11/2005,3.83,1.33,0.40,3.43
25,01/11/2005,3.92,0.68,0.61,3.31
26,01/11/2005,4.06,0.70,0.80,3.26
27,01/11/2005,4.66,1.03,0.86,3.80
28,01/11/2005,4.58,0.64,0.64,3.94
29,01/11/2005,4.13,0.34,0.43,3.70
30,01/11/2005,3.45,,0.89,2.56
31,01/11/2005,2.75,0.83,0.80,1.95
32,01/11/2005,2.49,0.68,0.59,1.90
33,01/11/2005,2.77,0.43,0.18,2.59
34,01/11/2005,2.62,0.48,0.54,2.08
1,01/12/2005,2.67,0.90,1.10,1.57
2,01/12/2005,1.90,0.19,0.25,1.65
3,01/12/2005,1.82,0.26,0.32,1.50
4,01/12/2005,3.34,1.10,1.18,2.16
5,01/12/2005,3.11,0.77,0.83,2.28
6,01/12/2005,3.09,0.93,0.96,2.13
7,01/12/2005,2.14,0.74,0.82,1.32
8,01/12/2005,2.20,0.42,0.60,1.60
9,01/12/2005,3.84,0.84,1.25,2.59
10,01/12/2005,3.86,0.50,1.02,2.84
11,01/12/2005,3.27,0.72,0.95,2.32
12,01/12/2005,3.20,0.61,0.72,2.48
13,01/12/2005,3.13,0.65,0.68,2.45
14,01/12/2005,2.18,0.29,0.32,1.86
15,01/12/2005,2.39,0.36,0.39,2.00
16,01/12/2005,2.83,0.39,0.42,2.41
17,01/12/2005,2.93,0.47,0.58,2.35
18,01/12/2005,3.19,0.60,0.72,2.47
19,01/12/2005,4.20,1.22,1.50,2.70
20,01/12/2005,3.14,0.64,0.80,2.34
21,01/12/2005,3.00,0.62,0.79,2.21
22,01/12/2005,3.02,0.92,0.99,2.03
23,01/12/2005,2.82,0.83,0.93,1.89
24,01/12/2005,3.83,0.40,0.52,3.31
25,01/12/2005,3.92,0.61,0.76,3.16
26,01/12/2005,4.06,0.80,0.91,3.15
27,01/12/2005,4.66,0.86,0.92,3.74
28,01/12/2005,4.58,0.64,0.72,3.86
29,01/12/2005,4.13,0.43,0.60,3.53
30,01/12/2005,3.45,0.89,0.99,2.46
31,01/12/2005,2.75,0.80,0.90,1.85
32,01/12/2005,2.49,0.59,0.65,1.84
33,01/12/2005,2.77,0.18,0.25,2.52
34,01/12/2005,2.62,0.54,0.60,2.02
1,01/01/2004,2.67,,0.43,2.24
2,01/01/2004,1.90,0.62,0.72,1.18
3,01/01/2004,1.82,0.36,0.45,1.37
4,01/01/2004,3.34,1.09,1.08,2.26
5,01/01/2004,3.11,0.73,0.78,2.33
6,01/01/2004,3.09,1.10,0.97,2.12
7,01/01/2004,2.14,0.55,0.51,1.63
8,01/01/2004,2.20,,0.48,1.72
9,01/01/2004,3.84,1.00,1.72,2.12
10,01/01/2004,3.86,0.80,0.80,3.06
11,01/01/2004,3.27,0.91,0.93,2.34
12,01/01/2004,3.20,0.89,0.88,2.32
13,01/01/2004,3.13,0.60,0.06,3.07
14,01/01/2004,2.18,0.27,,
15,01/01/2004,2.39,0.42,0.48,1.91
16,01/01/2004,2.83,0.67,0.77,2.06
17,01/01/2004,2.93,1.02,0.99,1.94
18,01/01/2004,3.19,0.56,0.55,2.64
19,01/01/2004,4.20,1.57,1.08,3.12
20,01/01/2004,3.14,0.63,0.60,2.54
21,01/01/2004,3.00,0.62,0.62,2.38
22,01/01/2004,3.02,0.68,0.58,2.44
23,01/01/2004,2.82,0.70,0.65,2.17
24,01/01/2004,3.83,1.14,1.18,2.65
25,01/01/2004,3.92,,,
26,01/01/2004,4.06,0.62,0.53,3.53
27,01/01/2004,4.66,1.10,1.10,3.56
28,01/01/2004,4.58,,1.12,3.46
29,01/01/2004,4.13,,1.25,2.88
30,01/01/2004,3.45,1.15,1.08,2.37
31,01/01/2004,2.75,0.77,0.78,1.97
32,01/01/2004,2.49,0.46,0.48,2.01
33,01/01/2004,2.77,0.76,0.73,2.04
34,01/01/2004,2.62,0.45,0.47,2.15
1,01/02/2004,2.67,0.43,0.63,2.04
2,01/02/2004,1.90,0.72,0.24,1.66
3,01/02/2004,1.82,0.45,0.37,1.45
4,01/02/2004,3.34,1.08,1.36,1.98
5,01/02/2004,3.11,0.78,0.89,2.22
6,01/02/2004,3.09,0.97,1.01,2.08
7,01/02/2004,2.14,0.51,0.79,1.35
8,01/02/2004,2.20,0.48,0.54,1.66
9,01/02/2004,3.84,1.72,1.25,2.59
10,01/02/2004,3.86,0.80,0.91,2.95
11,01/02/2004,3.27,0.93,0.99,2.28
12,01/02/2004,3.20,0.88,0.97,2.23
13,01/02/2004,3.13,0.06,0.90,2.23
14,01/02/2004,2.18,,0.26,1.92
15,01/02/2004,2.39,0.48,0.23,2.16
16,01/02/2004,2.83,0.77,0.75,2.08
17,01/02/2004,2.93,0.99,0.94,1.99
18,01/02/2004,3.19,0.55,0.55,2.64
19,01/02/2004,4.20,1.08,1.56,2.64
20,01/02/2004,3.14,0.60,0.62,2.52
21,01/02/2004,3.00,0.62,0.66,2.34
22,01/02/2004,3.02,0.58,0.58,2.44
23,01/02/2004,2.82,0.65,0.64,2.18
24,01/02/2004,3.83,1.18,1.26,2.57
25,01/02/2004,3.92,,1.40,2.52
26,01/02/2004,4.06,0.53,0.24,3.82
27,01/02/2004,4.66,1.10,1.03,3.63
28,01/02/2004,4.58,1.12,0.25,4.33
29,01/02/2004,4.13,1.25,0.47,3.66
30,01/02/2004,3.45,1.08,1.10,2.35
31,01/02/2004,2.75,0.78,0.83,1.92
32,01/02/2004,2.49,0.48,,
33,01/02/2004,2.77,0.73,0.43,2.34
34,01/02/2004,2.62,0.47,0.42,2.20
1,01/03/2004,2.67,0.63,0.80,1.87
2,01/03/2004,1.90,0.24,0.18,1.72
3,01/03/2004,1.82,0.37,,
4,01/03/2004,3.34,1.36,1.20,2.14
5,01/03/2004,3.11,0.89,0.84,2.27
6,01/03/2004,3.09,1.01,1.10,1.99
7,01/03/2004,2.14,0.79,0.77,1.37
8,01/03/2004,2.20,0.54,0.38,1.82
9,01/03/2004,3.84,1.25,1.35,2.49
10,01/03/2004,3.86,0.91,0.68,3.18
11,01/03/2004,3.27,0.99,1.12,2.15
12,01/03/2004,3.20,0.97,0.99,2.21
13,01/03/2004,3.13,0.90,0.54,2.59
14,01/03/2004,2.18,0.26,0.11,2.07
15,01/03/2004,2.39,0.23,0.80,1.59
16,01/03/2004,2.83,0.75,0.72,2.11
17,01/03/2004,2.93,0.94,0.86,2.07
18,01/03/2004,3.19,0.55,0.60,2.59
19,01/03/2004,4.20,1.56,1.97,2.23
20,01/03/2004,3.14,0.62,0.57,2.57
21,01/03/2004,3.00,0.66,0.59,2.41
22,01/03/2004,3.02,0.58,0.48,2.54
23,01/03/2004,2.82,0.64,0.53,2.29
24,01/03/2004,3.83,1.26,1.07,2.76
25,01/03/2004,3.92,1.40,0.84,3.08
26,01/03/2004,4.06,0.24,0.13,3.93
27,01/03/2004,4.66,1.03,0.69,3.97
28,01/03/2004,4.58,0.25,0.42,4.16
29,01/03/2004,4.13,0.47,,
30,01/03/2004,3.45,1.10,1.00,2.45
31,01/03/2004,2.75,0.83,0.66,2.09
32,01/03/2004,2.49,,0.15,2.34
33,01/03/2004,2.77,0.43,0.26,2.51
34,01/03/2004,2.62,0.42,0.16,2.46
1,01/04/2004,2.67,0.80,0.95,1.72
2,01/04/2004,1.90,0.18,,
3,01/04/2004,1.82,,0.36,1.46
4,01/04/2004,3.34,1.20,1.33,2.01
5,01/04/2004,3.11,0.84,0.86,2.25
6,01/04/2004,3.09,1.10,1.26,1.83
7,01/04/2004,2.14,0.77,0.90,1.24
8,01/04/2004,2.20,0.38,0.60,1.60
9,01/04/2004,3.84,1.35,1.41,2.43
10,01/04/2004,3.86,0.68,1.04,2.82
11,01/04/2004,3.27,1.12,1.07,2.20
12,01/04/2004,3.20,0.99,0.97,2.23
13,01/04/2004,3.13,0.54,0.82,2.31
14,01/04/2004,2.18,0.11,0.13,2.05
15,01/04/2004,2.39,0.80,,
16,01/04/2004,2.83,0.72,0.72,2.11
17,01/04/2004,2.93,0.86,0.31,2.62
18,01/04/2004,3.19,0.60,0.59,2.60
19,01/04/2004,4.20,1.97,1.82,2.38
20,01/04/2004,3.14,0.57,0.60,2.54
21,01/04/2004,3.00,0.59,0.52,2.48
22,01/04/2004,3.02,0.48,0.74,2.28
23,01/04/2004,2.82,0.53,0.78,2.04
24,01/04/2004,3.83,1.07,,
25,01/04/2004,3.92,0.84,1.04,2.88
26,01/04/2004,4.06,0.13,0.13,3.93
27,01/04/2004,4.66,0.69,0.72,3.94
28,01/04/2004,4.58,0.42,0.46,4.12
29,01/04/2004,4.13,,1.10,3.03
30,01/04/2004,3.45,1.00,0.98,2.47
31,01/04/2004,2.75,0.66,0.70,2.05
32,01/04/2004,2.49,0.15,0.31,2.18
33,01/04/2004,2.77,0.26,0.30,2.47
34,01/04/2004,2.62,0.16,0.30,2.32
1,01/05/2004,2.67,0.80,0.79,1.88
2,01/05/2004,1.90,0.18,0.29,1.61
3,01/05/2004,1.82,,0.59,1.23
4,01/05/2004,3.34,1.20,1.35,1.99
5,01/05/2004,3.11,0.84,0.80,2.31
6,01/05/2004,3.09,1.10,1.20,1.89
7,01/05/2004,2.14,0.77,0.80,1.34
8,01/05/2004,2.20,0.38,0.65,1.55
9,01/05/2004,3.84,1.35,1.48,2.36
10,01/05/2004,3.86,0.68,1.01,2.85
11,01/05/2004,3.27,1.12,0.97,2.30
12,01/05/2004,3.20,0.99,0.87,2.33
13,01/05/2004,3.13,0.54,0.72,2.41
14,01/05/2004,2.18,0.11,0.30,1.88
15,01/05/2004,2.39,0.80,,
16,01/05/2004,2.83,0.72,0.81,2.02
17,01/05/2004,2.93,0.86,0.39,2.54
18,01/05/2004,3.19,0.60,0.63,2.56
19,01/05/2004,4.20,1.97,1.52,2.68
20,01/05/2004,3.14,0.57,0.63,2.51
21,01/05/2004,3.00,0.59,0.50,2.50
22,01/05/2004,3.02,0.48,0.70,2.32
23,01/05/2004,2.82,0.53,0.71,2.11
24,01/05/2004,3.83,1.07,,
25,01/05/2004,3.92,0.84,0.42,3.50
26,01/05/2004,4.06,0.13,0.42,3.64
27,01/05/2004,4.66,0.69,0.85,3.81
28,01/05/2004,4.58,0.42,0.48,4.10
29,01/05/2004,4.13,,1.00,3.13
30,01/05/2004,3.45,1.00,1.00,2.45
31,01/05/2004,2.75,0.66,0.83,1.92
32,01/05/2004,2.49,0.15,0.40,2.09
33,01/05/2004,2.77,0.26,0.42,2.35
34,01/05/2004,2.62,0.16,0.41,2.21
1,01/06/2004,2.67,0.79,0.54,2.13
2,01/06/2004,1.90,0.29,,
3,01/06/2004,1.82,0.59,0.31,1.51
4,01/06/2004,3.34,1.35,1.28,2.06
5,01/06/2004,3.11,0.80,0.90,2.21
6,01/06/2004,3.09,1.20,1.13,1.96
7,01/06/2004,2.14,0.80,0.75,1.39
8,01/06/2004,2.20,0.65,0.60,1.60
9,01/06/2004,3.84,1.48,1.11,2.73
10,01/06/2004,3.86,1.01,0.96,2.90
11,01/06/2004,3.27,0.97,0.87,2.40
12,01/06/2004,3.20,0.87,0.85,2.35
13,01/06/2004,3.13,0.72,0.76,2.37
14,01/06/2004,2.18,0.30,0.22,1.96
15,01/06/2004,2.39,,0.31,2.08
16,01/06/2004,2.83,0.81,0.79,2.04
17,01/06/2004,2.93,0.39,0.81,2.12
18,01/06/2004,3.19,0.63,0.58,2.61
19,01/06/2004,4.20,1.52,1.65,2.55
20,01/06/2004,3.14,0.63,0.69,2.45
21,01/06/2004,3.00,0.50,0.68,2.32
22,01/06/2004,3.02,0.70,0.79,2.23
23,01/06/2004,2.82,0.71,0.78,2.04
24,01/06/2004,3.83,,,
25,01/06/2004,3.92,0.42,1.10,2.82
26,01/06/2004,4.06,0.42,0.48,3.58
27,01/06/2004,4.66,0.85,0.95,3.71
28,01/06/2004,4.58,0.48,0.74,3.84
29,01/06/2004,4.13,1.00,0.78,3.35
30,01/06/2004,3.45,1.00,0.74,2.71
31,01/06/2004,2.75,0.83,0.84,1.91
32,01/06/2004,2.49,0.40,0.50,1.99
33,01/06/2004,2.77,0.42,0.75,2.02
34,01/06/2004,2.62,0.41,0.54,2.08
1,01/07/2004,2.67,0.54,0.70,1.97
2,01/07/2004,1.90,,,
3,01/07/2004,1.82,0.31,0.43,1.39
4,01/07/2004,3.34,1.28,1.34,2.00
5,01/07/2004,3.11,0.90,0.89,2.22
6,01/07/2004,3.09,1.13,,
7,01/07/2004,2.14,0.75,0.90,1.24
8,01/07/2004,2.20,0.60,0.60,1.60
9,01/07/2004,3.84,1.11,1.06,2.78
10,01/07/2004,3.86,0.96,0.78,3.08
11,01/07/2004,3.27,0.87,0.86,2.41
12,01/07/2004,3.20,0.85,0.90,2.30
13,01/07/2004,3.13,0.76,0.79,2.34
14,01/07/2004,2.18,0.22,0.30,1.88
15,01/07/2004,2.39,0.31,0.33,2.06
16,01/07/2004,2.83,0.79,0.66,2.17
17,01/07/2004,2.93,0.81,0.80,2.13
18,01/07/2004,3.19,0.58,0.41,2.78
19,01/07/2004,4.20,1.65,1.65,2.55
20,01/07/2004,3.14,0.69,0.53,2.61
21,01/07/2004,3.00,0.68,0.57,2.43
22,01/07/2004,3.02,0.79,0.70,2.32
23,01/07/2004,2.82,0.78,0.59,2.23
24,01/07/2004,3.83,,,
25,01/07/2004,3.92,1.10,1.20,2.72
26,01/07/2004,4.06,0.48,0.43,3.63
27,01/07/2004,4.66,0.95,0.90,3.76
28,01/07/2004,4.58,0.74,0.40,4.18
29,01/07/2004,4.13,0.78,0.66,3.47
30,01/07/2004,3.45,0.74,0.90,2.55
31,01/07/2004,2.75,0.84,0.81,1.94
32,01/07/2004,2.49,0.50,0.65,1.84
33,01/07/2004,2.77,0.75,0.47,2.30
34,01/07/2004,2.62,0.54,0.41,2.21
1,01/09/2004,2.67,0.29,0.91,2.38
2,01/09/2004,1.90,0.96,0.31,0.94
3,01/09/2004,1.82,0.38,0.26,1.44
4,01/09/2004,3.34,,1.20,
5,01/09/2004,3.11,0.80,0.65,2.31
6,01/09/2004,3.09,,,
7,01/09/2004,2.14,0.95,0.82,1.19
8,01/09/2004,2.20,,0.85,
9,01/09/2004,3.84,0.97,1.09,2.87
10,01/09/2004,3.86,0.95,0.82,2.91
11,01/09/2004,3.27,0.90,0.83,2.37
12,01/09/2004,3.20,0.85,0.84,2.35
13,01/09/2004,3.13,0.75,0.80,2.38
14,01/09/2004,2.18,0.39,0.41,1.79
15,01/09/2004,2.39,0.51,0.47,1.88
16,01/09/2004,2.83,0.72,1.00,2.11
17,01/09/2004,2.93,0.74,0.95,2.19
18,01/09/2004,3.19,0.68,,2.51
19,01/09/2004,4.20,1.68,2.35,2.52
20,01/09/2004,3.14,0.59,0.90,2.55
21,01/09/2004,3.00,1.04,,1.96
22,01/09/2004,3.02,0.88,1.20,2.14
23,01/09/2004,2.82,1.06,1.24,1.76
24,01/09/2004,3.83,,,
25,01/09/2004,3.92,0.89,1.84,3.03
26,01/09/2004,4.06,0.43,1.60,3.63
27,01/09/2004,4.66,0.89,2.30,3.77
28,01/09/2004,4.58,0.50,0.45,4.08
29,01/09/2004,4.13,0.70,0.66,3.43
30,01/09/2004,3.45,0.99,0.92,2.46
31,01/09/2004,2.75,0.88,0.82,1.87
32,01/09/2004,2.49,0.94,0.87,1.55
33,01/09/2004,2.77,0.36,0.30,2.41
34,01/09/2004,2.62,0.66,0.60,1.96
1,01/10/2004,2.67,0.91,1.10,1.76
2,01/10/2004,1.90,0.31,0.67,1.59
3,01/10/2004,1.82,0.26,0.50,1.56
4,01/10/2004,3.34,1.20,1.18,2.14
5,01/10/2004,3.11,0.65,0.84,2.46
6,01/10/2004,3.09,,,
7,01/10/2004,2.14,0.82,1.05,1.32
8,01/10/2004,2.20,0.85,0.83,1.35
9,01/10/2004,3.84,1.09,1.20,2.75
10,01/10/2004,3.86,0.82,1.02,3.04
11,01/10/2004,3.27,0.83,0.98,2.44
12,01/10/2004,3.20,0.84,1.40,2.36
13,01/10/2004,3.13,0.80,0.89,2.33
14,01/10/2004,2.18,0.41,0.55,1.77
15,01/10/2004,2.39,0.47,0.55,1.92
16,01/10/2004,2.83,1.00,1.19,1.83
17,01/10/2004,2.93,0.95,1.04,1.98
18,01/10/2004,3.19,,,
19,01/10/2004,4.20,2.35,1.10,1.85
20,01/10/2004,3.14,0.90,1.25,2.24
21,01/10/2004,3.00,,,
22,01/10/2004,3.02,1.20,1.21,1.82
23,01/10/2004,2.82,1.24,1.29,1.58
24,01/10/2004,3.83,,,
25,01/10/2004,3.92,1.84,1.85,2.08
26,01/10/2004,4.06,1.60,1.82,2.46
27,01/10/2004,4.66,2.30,1.04,2.36
28,01/10/2004,4.58,0.45,0.68,4.13
29,01/10/2004,4.13,0.66,0.64,3.47
30,01/10/2004,3.45,0.92,1.00,2.53
31,01/10/2004,2.75,0.82,1.37,1.93
32,01/10/2004,2.49,0.87,0.90,1.62
33,01/10/2004,2.77,0.30,0.74,2.47
34,01/10/2004,2.62,0.60,0.74,2.02
1,01/11/2004,2.67,1.10,1.11,1.57
2,01/11/2004,1.90,0.67,0.67,1.23
3,01/11/2004,1.82,0.50,0.64,1.32
4,01/11/2004,3.34,1.18,1.54,2.16
5,01/11/2004,3.11,0.84,1.05,2.27
6,01/11/2004,3.09,,,
7,01/11/2004,2.14,1.05,1.02,1.09
8,01/11/2004,2.20,0.83,0.86,1.37
9,01/11/2004,3.84,1.20,1.21,2.64
10,01/11/2004,3.86,1.02,0.99,2.84
11,01/11/2004,3.27,0.98,0.88,2.29
12,01/11/2004,3.20,1.40,1.50,1.80
13,01/11/2004,3.13,0.89,0.90,2.24
14,01/11/2004,2.18,0.55,0.60,1.63
15,01/11/2004,2.39,0.55,0.77,1.84
16,01/11/2004,2.83,1.19,1.24,1.64
17,01/11/2004,2.93,1.04,1.00,1.89
18,01/11/2004,3.19,,,
19,01/11/2004,4.20,1.10,1.40,3.10
20,01/11/2004,3.14,1.25,1.30,1.89
21,01/11/2004,3.00,,,
22,01/11/2004,3.02,1.21,1.24,1.81
23,01/11/2004,2.82,1.29,1.32,1.53
24,01/11/2004,3.83,,,
25,01/11/2004,3.92,1.85,1.87,2.07
26,01/11/2004,4.06,1.82,1.87,2.24
27,01/11/2004,4.66,1.04,1.00,3.62
28,01/11/2004,4.58,0.68,1.42,3.90
29,01/11/2004,4.13,0.64,1.15,3.49
30,01/11/2004,3.45,1.00,1.20,2.45
31,01/11/2004,2.75,1.37,1.14,1.38
32,01/11/2004,2.49,0.90,1.12,1.59
33,01/11/2004,2.77,0.74,0.80,2.03
34,01/11/2004,2.62,0.74,0.85,1.88
1,01/12/2004,2.67,1.10,0.32,1.57
2,01/12/2004,1.90,0.67,0.98,1.23
3,01/12/2004,1.82,0.50,0.45,1.32
4,01/12/2004,3.34,1.18,1.07,2.16
5,01/12/2004,3.11,0.84,0.90,2.27
6,01/12/2004,3.09,,,
7,01/12/2004,2.14,1.05,0.65,1.09
8,01/12/2004,2.20,0.83,0.91,1.37
9,01/12/2004,3.84,1.20,1.37,2.64
10,01/12/2004,3.86,1.02,0.72,2.84
11,01/12/2004,3.27,0.98,0.79,2.29
12,01/12/2004,3.20,1.40,,1.80
13,01/12/2004,3.13,0.89,0.68,2.24
14,01/12/2004,2.18,0.55,0.56,1.63
15,01/12/2004,2.39,0.55,0.47,1.84
16,01/12/2004,2.83,1.19,0.77,1.64
17,01/12/2004,2.93,1.04,0.97,1.89
18,01/12/2004,3.19,,,
19,01/12/2004,4.20,1.10,1.47,3.10
20,01/12/2004,3.14,1.25,1.13,1.89
21,01/12/2004,3.00,,0.83,
22,01/12/2004,3.02,1.21,0.98,1.81
23,01/12/2004,2.82,1.29,1.05,1.53
24,01/12/2004,3.83,,,
25,01/12/2004,3.92,1.85,0.94,2.07
26,01/12/2004,4.06,1.82,0.71,2.24
27,01/12/2004,4.66,1.04,0.67,3.62
28,01/12/2004,4.58,0.68,0.99,3.90
29,01/12/2004,4.13,0.64,0.68,3.49
30,01/12/2004,3.45,1.00,0.65,2.45
31,01/12/2004,2.75,1.37,0.32,1.38
32,01/12/2004,2.49,0.90,0.38,1.59
33,01/12/2004,2.77,0.74,0.50,2.03
34,01/12/2004,2.62,0.74,0.68,1.88
1,01/01/2003,2.67,,0.43,2.24
2,01/01/2003,1.90,0.62,0.72,1.18
3,01/01/2003,1.82,0.36,0.45,1.37
4,01/01/2003,3.34,1.09,1.08,2.26
5,01/01/2003,3.11,0.73,0.78,2.33
6,01/01/2003,3.09,1.10,0.97,2.12
7,01/01/2003,2.14,0.55,0.51,1.63
8,01/01/2003,2.20,,0.48,1.72
9,01/01/2003,3.84,1.00,1.72,2.12
10,01/01/2003,3.86,0.80,0.80,3.06
11,01/01/2003,3.27,0.91,0.93,2.34
12,01/01/2003,3.20,0.89,0.88,2.32
13,01/01/2003,3.13,0.60,0.06,3.07
14,01/01/2003,2.18,0.27,,
15,01/01/2003,2.39,0.42,0.48,1.91
16,01/01/2003,2.83,0.67,0.77,2.06
17,01/01/2003,2.93,1.02,0.99,1.94
18,01/01/2003,3.19,0.56,0.55,2.64
19,01/01/2003,4.20,1.57,1.08,3.12
20,01/01/2003,3.14,0.63,0.60,2.54
21,01/01/2003,3.00,0.62,0.62,2.38
22,01/01/2003,3.02,0.68,0.58,2.44
23,01/01/2003,2.82,0.70,0.65,2.17
24,01/01/2003,3.83,1.14,1.18,2.65
