Aforo,Este,Norte,Fecha,Qtotal (m3/s)
Dren ciego,194330,8103436,17/5/2013,0.009
Rossy,195723,8102026,17/5/2013,0.034
Puntilla,196473,8103514,14/06/2013,0.266
Campesino,194248,8103536,14/06/2013,0.77
Centro de visitantes,193407,8104162,14/06/2013,0.758
Motobomba,192546,8104722,14/06/2013,0.667
Camanejos,197321,8100714,14/06/2013,0.006
Dren ciego,194330,8103436,14/06/2013,0
Rossy,195723,8102026,14/06/2013,0.009
Puntilla,196473,8103514,12/08/2013,0.286
Campesino,194248,8103536,12/08/2013,0.598
Centro de visitantes,193407,8104162,12/08/2013,0.633
Motobomba,192546,8104722,12/08/2013,0.709
Camanejos,197321,8100714,12/08/2013,0.006
Dren ciego,194330,8103436,12/08/2013,0
Rossy,195723,8102026,12/08/2013,0.005
Puntilla,196473,8103514,17/09/2013,0.323
Campesino,194248,8103536,17/09/2013,0.633
Centro de visitantes,193407,8104162,17/09/2013,1.275
Motobomba,192546,8104722,17/09/2013,0.69
Camanejos,197321,8100714,17/09/2013,0.006
Dren ciego,194330,8103436,17/09/2013,0
Rossy,195723,8102026,17/09/2013,0.008
Puntilla,196473,8103514,16/10/2013,0.415
Campesino,194248,8103536,16/10/2013,0.561
Centro de visitantes,193407,8104162,16/10/2013,0.782
Motobomba,192546,8104722,16/10/2013,0.666
Camanejos,197321,8100714,16/10/2013,0.028
Dren ciego,194330,8103436,16/10/2013,0.039
Rossy,195723,8102026,16/10/2013,0.005
Puntilla,196473,8103514,12/11/2013,0.279
Campesino,194248,8103536,12/11/2013,0.561
Centro de visitantes,193407,8104162,12/11/2013,0.63
Motobomba,192546,8104722,12/11/2013,0.66
Camanejos,197321,8100714,12/11/2013,0.068
Dren ciego,194330,8103436,12/11/2013,0.119
Rossy,195723,8102026,12/11/2013,0.065
Puntilla,196473,8103514,12/12/2013,0.222
Campesino,194248,8103536,12/12/2013,1.099
Centro de visitantes,193407,8104162,12/12/2013,0.653
Motobomba,192546,8104722,12/12/2013,0.62
Camanejos,197321,8100714,12/12/2013,0.116
Dren ciego,194330,8103436,12/12/2013,0.025
Rossy,195723,8102026,12/12/2013,0.162
Puntilla,196473,8103514,13/01/2012,0.252
Campesino,194248,8103536,13/01/2012,0.601
Centro de visitantes,193407,8104162,13/01/2012,0.646
Motobomba,192546,8104722,13/01/2012,0.678
Camanejos,197321,8100714,13/01/2012,0.007
Dren ciego,194330,8103436,13/01/2012,0.152
Rossy,195723,8102026,13/01/2012,0.045
Puntilla,196473,8103514,16/02/2012,0.338
Campesino,194248,8103536,16/02/2012,0.822
Centro de visitantes,193407,8104162,16/02/2012,0.836
Motobomba,192546,8104722,16/02/2012,0.763
Camanejos,197321,8100714,16/02/2012,0.225
Dren ciego,194330,8103436,16/02/2012,0.249
Rossy,195723,8102026,16/02/2012,0.546
Puntilla,196473,8103514,16/03/2012,0.206
Campesino,194248,8103536,16/03/2012,0.69
Centro de visitantes,193407,8104162,16/03/2012,0.683
Motobomba,192546,8104722,16/03/2012,0.84
Camanejos,197321,8100714,16/03/2012,0.128
Dren ciego,194330,8103436,16/03/2012,0.2
Rossy,195723,8102026,16/03/2012,0.279
Puntilla,196473,8103514,18/04/2012,0.247
Campesino,194248,8103536,18/04/2012,0.69
Centro de visitantes,193407,8104162,18/04/2012,0.725
Motobomba,192546,8104722,18/04/2012,0.914
Camanejos,197321,8100714,18/04/2012,0.22
